wvg_height = 0.125 , mode = yO, SUBSRATE = True
hx = 0.05, hy = 0.05, a = 0.378, w = 0.65, gamma = 0.00368, freqs = 196.5777 , 199.7778 
hx = 0.05, hy = 0.075, a = 0.378, w = 0.65, gamma = 0.00406, freqs = 196.5906 , 200.7576 
hx = 0.05, hy = 0.1, a = 0.378, w = 0.65, gamma = 0.00411, freqs = 196.6073 , 201.3414 
hx = 0.05, hy = 0.05, a = 0.379, w = 0.65, gamma = 0.00573, freqs = 196.2792 , 199.469 
hx = 0.075, hy = 0.05, a = 0.379, w = 0.65, gamma = 0.00706, freqs = 196.3683 , 201.8825 
hx = 0.075, hy = 0.075, a = 0.379, w = 0.65, gamma = 0.00768, freqs = 196.394 , 203.319 
hx = 0.075, hy = 0.1, a = 0.379, w = 0.65, gamma = 0.00788, freqs = 196.4282 , 204.4307 
hx = 0.075, hy = 0.05, a = 0.38, w = 0.65, gamma = 0.00912, freqs = 196.069 , 201.5593 
hx = 0.1, hy = 0.05, a = 0.38, w = 0.65, gamma = 0.01005, freqs = 196.2131 , 204.2505 
hx = 0.075, hy = 0.075, a = 0.38, w = 0.65, gamma = 0.01016, freqs = 196.0947 , 202.99 
hx = 0.1, hy = 0.075, a = 0.38, w = 0.65, gamma = 0.01042, freqs = 196.2924 , 206.2934 
hx = 0.075, hy = 0.1, a = 0.38, w = 0.65, gamma = 0.0107, freqs = 196.1284 , 204.088 
hx = 0.075, hy = 0.125, a = 0.38, w = 0.65, gamma = 0.0111, freqs = 196.174 , 205.3267 
hx = 0.075, hy = 0.15, a = 0.38, w = 0.65, gamma = 0.01117, freqs = 196.2415 , 206.646 
hx = 0.1, hy = 0.05, a = 0.381, w = 0.65, gamma = 0.01228, freqs = 195.9146 , 203.9348 
hx = 0.1, hy = 0.075, a = 0.381, w = 0.65, gamma = 0.01317, freqs = 195.9908 , 205.9339 
hx = 0.1, hy = 0.1, a = 0.381, w = 0.65, gamma = 0.01357, freqs = 196.0552 , 207.4968 
hx = 0.1, hy = 0.125, a = 0.381, w = 0.65, gamma = 0.01374, freqs = 196.13 , 209.1974 
hx = 0.075, hy = 0.15, a = 0.381, w = 0.65, gamma = 0.01383, freqs = 195.9416 , 206.283 
hx = 0.1, hy = 0.05, a = 0.382, w = 0.65, gamma = 0.014, freqs = 195.6149 , 203.618 
