wvg_height = 0.2 , mode = yO, SUBSRATE = True, hx_min = 0.125, hy_min = 0.2
hx = 0.125, hy = 0.2, a = 0.314, w = 0.65, gamma = 0.0159, freqs = 196.3686 , 226.0596 
hx = 0.125, hy = 0.2, a = 0.315, w = 0.65, gamma = 0.02264, freqs = 195.9648 , 225.6344 
hx = 0.125, hy = 0.2, a = 0.316, w = 0.65, gamma = 0.02492, freqs = 195.788 , 225.2729 
hx = 0.125, hy = 0.2, a = 0.317, w = 0.65, gamma = 0.02978, freqs = 195.3531 , 224.6906 
hx = 0.125, hy = 0.2, a = 0.318, w = 0.65, gamma = 0.03341, freqs = 194.967 , 224.2097 
hx = 0.125, hy = 0.2, a = 0.319, w = 0.65, gamma = 0.03674, freqs = 194.5621 , 223.7006 
hx = 0.125, hy = 0.2, a = 0.32, w = 0.65, gamma = 0.03947, freqs = 194.1988 , 223.3324 
hx = 0.125, hy = 0.2, a = 0.321, w = 0.65, gamma = 0.04215, freqs = 193.791 , 222.7674 
hx = 0.125, hy = 0.2, a = 0.322, w = 0.65, gamma = 0.04455, freqs = 193.3906 , 222.2466 
hx = 0.125, hy = 0.225, a = 0.322, w = 0.65, gamma = 0.04464, freqs = 193.6535 , 224.907 
hx = 0.125, hy = 0.2, a = 0.323, w = 0.65, gamma = 0.04678, freqs = 192.9832 , 221.7103 
hx = 0.125, hy = 0.225, a = 0.323, w = 0.65, gamma = 0.04712, freqs = 193.2475 , 224.3695 
hx = 0.125, hy = 0.2, a = 0.324, w = 0.65, gamma = 0.04882, freqs = 192.5775 , 221.183 
hx = 0.125, hy = 0.225, a = 0.324, w = 0.65, gamma = 0.0494, freqs = 192.8406 , 223.8281 
hx = 0.125, hy = 0.25, a = 0.324, w = 0.65, gamma = 0.04941, freqs = 193.1318 , 226.4135 
hx = 0.125, hy = 0.2, a = 0.325, w = 0.65, gamma = 0.05069, freqs = 192.1724 , 220.6553 
hx = 0.125, hy = 0.225, a = 0.325, w = 0.65, gamma = 0.0515, freqs = 192.4316 , 223.2695 
hx = 0.125, hy = 0.25, a = 0.325, w = 0.65, gamma = 0.05175, freqs = 192.7211 , 225.839 
hx = 0.125, hy = 0.2, a = 0.326, w = 0.65, gamma = 0.05237, freqs = 191.7995 , 220.2522 
hx = 0.125, hy = 0.225, a = 0.326, w = 0.65, gamma = 0.05336, freqs = 192.0578 , 222.8478 
hx = 0.125, hy = 0.25, a = 0.326, w = 0.65, gamma = 0.05379, freqs = 192.3464 , 225.4026 
hx = 0.125, hy = 0.2, a = 0.327, w = 0.65, gamma = 0.05397, freqs = 191.3885 , 219.6865 
hx = 0.125, hy = 0.225, a = 0.327, w = 0.65, gamma = 0.05517, freqs = 191.6438 , 222.2698 
hx = 0.125, hy = 0.25, a = 0.327, w = 0.65, gamma = 0.05581, freqs = 191.9331 , 224.8094 
hx = 0.125, hy = 0.275, a = 0.327, w = 0.65, gamma = 0.05593, freqs = 192.2578 , 227.3922 
hx = 0.125, hy = 0.225, a = 0.328, w = 0.65, gamma = 0.05682, freqs = 191.2352 , 221.6918 
hx = 0.125, hy = 0.25, a = 0.328, w = 0.65, gamma = 0.05765, freqs = 191.5256 , 224.2288 
hx = 0.125, hy = 0.275, a = 0.328, w = 0.65, gamma = 0.058, freqs = 191.8454 , 226.7885 
hx = 0.125, hy = 0.225, a = 0.329, w = 0.65, gamma = 0.05834, freqs = 190.832 , 221.1388 
hx = 0.125, hy = 0.25, a = 0.329, w = 0.65, gamma = 0.05934, freqs = 191.1134 , 223.5977 
hx = 0.125, hy = 0.275, a = 0.329, w = 0.65, gamma = 0.05992, freqs = 191.4379 , 226.2057 
hx = 0.125, hy = 0.25, a = 0.33, w = 0.65, gamma = 0.06092, freqs = 190.7067 , 223.018 
hx = 0.125, hy = 0.275, a = 0.33, w = 0.65, gamma = 0.06171, freqs = 191.0277 , 225.6132 
hx = 0.125, hy = 0.3, a = 0.33, w = 0.65, gamma = 0.0619, freqs = 191.3887 , 228.1882 
hx = 0.125, hy = 0.25, a = 0.331, w = 0.65, gamma = 0.06235, freqs = 190.3338 , 222.5621 
hx = 0.125, hy = 0.275, a = 0.331, w = 0.65, gamma = 0.06333, freqs = 190.6517 , 225.1694 
hx = 0.125, hy = 0.3, a = 0.331, w = 0.65, gamma = 0.06369, freqs = 191.0147 , 227.7373 
hx = 0.125, hy = 0.25, a = 0.332, w = 0.65, gamma = 0.06369, freqs = 189.9318 , 221.9787 
hx = 0.125, hy = 0.275, a = 0.332, w = 0.65, gamma = 0.06486, freqs = 190.2477 , 224.5706 
hx = 0.125, hy = 0.3, a = 0.332, w = 0.65, gamma = 0.0654, freqs = 190.61 , 227.125 
hx = 0.125, hy = 0.275, a = 0.333, w = 0.65, gamma = 0.06627, freqs = 189.8414 , 223.9529 
hx = 0.125, hy = 0.3, a = 0.333, w = 0.65, gamma = 0.067, freqs = 190.2031 , 226.4994 
hx = 0.125, hy = 0.325, a = 0.333, w = 0.65, gamma = 0.06701, freqs = 190.6123 , 228.9245 
hx = 0.125, hy = 0.3, a = 0.334, w = 0.65, gamma = 0.06733, freqs = 190.0852 , 226.2109 
hx = 0.125, hy = 0.325, a = 0.334, w = 0.65, gamma = 0.06739, freqs = 190.4976 , 228.6343 
hx = 0.125, hy = 0.275, a = 0.335, w = 0.65, gamma = 0.06779, freqs = 189.3536 , 223.1732 
hx = 0.125, hy = 0.3, a = 0.335, w = 0.65, gamma = 0.06868, freqs = 189.714 , 225.6603 
