wvg_height = 0.25 , mode = yO, SUBSRATE = Truem hx_min = 0.125, hy_min = 0.2
hx = 0.125, hy = 0.2, a = 0.294, w = 0.65, gamma = 0.01815, freqs = 196.2761 , 227.7922 
hx = 0.125, hy = 0.2, a = 0.295, w = 0.65, gamma = 0.0257, freqs = 195.7811 , 227.1336 
hx = 0.125, hy = 0.2, a = 0.296, w = 0.65, gamma = 0.03095, freqs = 195.328 , 226.6726 
hx = 0.125, hy = 0.2, a = 0.297, w = 0.65, gamma = 0.03551, freqs = 194.8466 , 226.0456 
hx = 0.125, hy = 0.2, a = 0.298, w = 0.65, gamma = 0.03941, freqs = 194.3673 , 225.4363 
hx = 0.125, hy = 0.2, a = 0.299, w = 0.65, gamma = 0.04286, freqs = 193.8842 , 224.8102 
hx = 0.125, hy = 0.2, a = 0.3, w = 0.65, gamma = 0.04537, freqs = 193.4856 , 224.2297 
hx = 0.125, hy = 0.2, a = 0.301, w = 0.65, gamma = 0.04758, freqs = 193.118 , 223.8162 
hx = 0.125, hy = 0.2, a = 0.302, w = 0.65, gamma = 0.05013, freqs = 192.6461 , 223.2054 
hx = 0.125, hy = 0.225, a = 0.302, w = 0.65, gamma = 0.05046, freqs = 192.9459 , 226.1077 
hx = 0.125, hy = 0.2, a = 0.303, w = 0.65, gamma = 0.05235, freqs = 192.2009 , 222.6545 
hx = 0.125, hy = 0.225, a = 0.303, w = 0.65, gamma = 0.05295, freqs = 192.5009 , 225.5582 
hx = 0.125, hy = 0.25, a = 0.303, w = 0.65, gamma = 0.05306, freqs = 192.8204 , 228.5206 
hx = 0.125, hy = 0.2, a = 0.304, w = 0.65, gamma = 0.0544, freqs = 191.7568 , 222.1127 
hx = 0.125, hy = 0.225, a = 0.304, w = 0.65, gamma = 0.05526, freqs = 192.0546 , 225.0108 
hx = 0.125, hy = 0.25, a = 0.304, w = 0.65, gamma = 0.05565, freqs = 192.3682 , 227.943 
hx = 0.125, hy = 0.2, a = 0.305, w = 0.65, gamma = 0.05625, freqs = 191.3428 , 221.694 
hx = 0.125, hy = 0.225, a = 0.305, w = 0.65, gamma = 0.05735, freqs = 191.6336 , 224.5764 
hx = 0.125, hy = 0.25, a = 0.305, w = 0.65, gamma = 0.05796, freqs = 191.9498 , 227.5179 
hx = 0.125, hy = 0.275, a = 0.305, w = 0.65, gamma = 0.05801, freqs = 192.2991 , 230.5169 
hx = 0.125, hy = 0.225, a = 0.306, w = 0.65, gamma = 0.05932, freqs = 191.1855 , 223.9905 
hx = 0.125, hy = 0.25, a = 0.306, w = 0.65, gamma = 0.06018, freqs = 191.5013 , 226.9332 
hx = 0.125, hy = 0.275, a = 0.306, w = 0.65, gamma = 0.06047, freqs = 191.8487 , 229.9108 
hx = 0.125, hy = 0.225, a = 0.307, w = 0.65, gamma = 0.06115, freqs = 190.7365 , 223.4056 
hx = 0.125, hy = 0.25, a = 0.307, w = 0.65, gamma = 0.06224, freqs = 191.051 , 226.3372 
hx = 0.125, hy = 0.275, a = 0.307, w = 0.65, gamma = 0.06277, freqs = 191.3964 , 229.2906 
hx = 0.125, hy = 0.225, a = 0.308, w = 0.65, gamma = 0.06284, freqs = 190.2898 , 222.8173 
hx = 0.125, hy = 0.25, a = 0.308, w = 0.65, gamma = 0.06412, freqs = 190.6042 , 225.731 
hx = 0.125, hy = 0.275, a = 0.308, w = 0.65, gamma = 0.06488, freqs = 190.9478 , 228.6708 
hx = 0.125, hy = 0.3, a = 0.308, w = 0.65, gamma = 0.06499, freqs = 191.3337 , 231.6046 
hx = 0.125, hy = 0.25, a = 0.309, w = 0.65, gamma = 0.06591, freqs = 190.1527 , 225.1258 
hx = 0.125, hy = 0.275, a = 0.309, w = 0.65, gamma = 0.06686, freqs = 190.4944 , 228.0305 
hx = 0.125, hy = 0.3, a = 0.309, w = 0.65, gamma = 0.06719, freqs = 190.8802 , 230.9515 
hx = 0.125, hy = 0.25, a = 0.31, w = 0.65, gamma = 0.06758, freqs = 189.7277 , 224.6643 
hx = 0.125, hy = 0.275, a = 0.31, w = 0.65, gamma = 0.06871, freqs = 190.0664 , 227.5312 
hx = 0.125, hy = 0.3, a = 0.31, w = 0.65, gamma = 0.06923, freqs = 190.4497 , 230.4243 
hx = 0.125, hy = 0.275, a = 0.311, w = 0.65, gamma = 0.07044, freqs = 189.6101 , 226.8753 
hx = 0.125, hy = 0.3, a = 0.311, w = 0.65, gamma = 0.07117, freqs = 189.9903 , 229.7347 
hx = 0.125, hy = 0.325, a = 0.311, w = 0.65, gamma = 0.07125, freqs = 190.4235 , 232.636 
hx = 0.125, hy = 0.275, a = 0.312, w = 0.65, gamma = 0.07204, freqs = 189.1581 , 226.2239 
