hx = 0.05, hy = 0.1, a = 0.301, w = 0.65, gamma = 0.00735
hx = 0.05, hy = 0.125, a = 0.301, w = 0.65, gamma = 0.00741
hx = 0.05, hy = 0.1, a = 0.302, w = 0.65, gamma = 0.01111
hx = 0.075, hy = 0.1, a = 0.302, w = 0.65, gamma = 0.01144
hx = 0.05, hy = 0.125, a = 0.302, w = 0.65, gamma = 0.01178
hx = 0.05, hy = 0.15, a = 0.302, w = 0.65, gamma = 0.01211
hx = 0.05, hy = 0.1, a = 0.303, w = 0.65, gamma = 0.01345
hx = 0.075, hy = 0.1, a = 0.303, w = 0.65, gamma = 0.01549
hx = 0.075, hy = 0.125, a = 0.303, w = 0.65, gamma = 0.01593
hx = 0.075, hy = 0.15, a = 0.303, w = 0.65, gamma = 0.01596
hx = 0.075, hy = 0.1, a = 0.304, w = 0.65, gamma = 0.01842
hx = 0.075, hy = 0.125, a = 0.304, w = 0.65, gamma = 0.01928
hx = 0.075, hy = 0.15, a = 0.304, w = 0.65, gamma = 0.01975
hx = 0.075, hy = 0.175, a = 0.304, w = 0.65, gamma = 0.0198
hx = 0.075, hy = 0.1, a = 0.305, w = 0.65, gamma = 0.02071
hx = 0.075, hy = 0.125, a = 0.305, w = 0.65, gamma = 0.02191
hx = 0.075, hy = 0.15, a = 0.305, w = 0.65, gamma = 0.02271
hx = 0.075, hy = 0.175, a = 0.305, w = 0.65, gamma = 0.02312
hx = 0.1, hy = 0.1, a = 0.306, w = 0.65, gamma = 0.02361
hx = 0.075, hy = 0.125, a = 0.306, w = 0.65, gamma = 0.02412
hx = 0.1, hy = 0.125, a = 0.306, w = 0.65, gamma = 0.02412
hx = 0.075, hy = 0.15, a = 0.306, w = 0.65, gamma = 0.0252
hx = 0.075, hy = 0.175, a = 0.306, w = 0.65, gamma = 0.02591
hx = 0.075, hy = 0.2, a = 0.306, w = 0.65, gamma = 0.02614
hx = 0.1, hy = 0.1, a = 0.307, w = 0.65, gamma = 0.02626
hx = 0.1, hy = 0.125, a = 0.307, w = 0.65, gamma = 0.02716
hx = 0.075, hy = 0.15, a = 0.307, w = 0.65, gamma = 0.02731
hx = 0.1, hy = 0.15, a = 0.307, w = 0.65, gamma = 0.02758
hx = 0.075, hy = 0.175, a = 0.307, w = 0.65, gamma = 0.02827
hx = 0.075, hy = 0.2, a = 0.307, w = 0.65, gamma = 0.02877
hx = 0.075, hy = 0.225, a = 0.307, w = 0.65, gamma = 0.02894
hx = 0.1, hy = 0.125, a = 0.308, w = 0.65, gamma = 0.02971
hx = 0.1, hy = 0.15, a = 0.308, w = 0.65, gamma = 0.03047
