hx = 0.05, hy = 0.1, a = 0.296, w = 0.65, gamma = 0.00428
hx = 0.05, hy = 0.1, a = 0.297, w = 0.65, gamma = 0.00999
hx = 0.05, hy = 0.125, a = 0.297, w = 0.65, gamma = 0.01045
hx = 0.05, hy = 0.15, a = 0.297, w = 0.65, gamma = 0.01057
hx = 0.05, hy = 0.1, a = 0.298, w = 0.65, gamma = 0.01305
hx = 0.075, hy = 0.1, a = 0.298, w = 0.65, gamma = 0.01454
hx = 0.075, hy = 0.125, a = 0.298, w = 0.65, gamma = 0.0148
hx = 0.05, hy = 0.175, a = 0.298, w = 0.65, gamma = 0.01485
hx = 0.05, hy = 0.1, a = 0.299, w = 0.65, gamma = 0.01517
hx = 0.075, hy = 0.1, a = 0.299, w = 0.65, gamma = 0.01817
hx = 0.075, hy = 0.125, a = 0.299, w = 0.65, gamma = 0.01895
hx = 0.075, hy = 0.15, a = 0.299, w = 0.65, gamma = 0.01934
hx = 0.075, hy = 0.1, a = 0.3, w = 0.65, gamma = 0.02017
hx = 0.075, hy = 0.125, a = 0.3, w = 0.65, gamma = 0.02126
hx = 0.075, hy = 0.15, a = 0.3, w = 0.65, gamma = 0.02195
hx = 0.075, hy = 0.175, a = 0.3, w = 0.65, gamma = 0.02224
hx = 0.075, hy = 0.1, a = 0.301, w = 0.65, gamma = 0.02242
hx = 0.1, hy = 0.1, a = 0.301, w = 0.65, gamma = 0.02282
hx = 0.075, hy = 0.125, a = 0.301, w = 0.65, gamma = 0.02384
hx = 0.075, hy = 0.15, a = 0.301, w = 0.65, gamma = 0.02487
hx = 0.075, hy = 0.175, a = 0.301, w = 0.65, gamma = 0.02551
hx = 0.075, hy = 0.2, a = 0.301, w = 0.65, gamma = 0.02571
hx = 0.1, hy = 0.1, a = 0.302, w = 0.65, gamma = 0.02596
hx = 0.075, hy = 0.125, a = 0.302, w = 0.65, gamma = 0.02602
hx = 0.1, hy = 0.125, a = 0.302, w = 0.65, gamma = 0.02675
hx = 0.075, hy = 0.15, a = 0.302, w = 0.65, gamma = 0.02735
hx = 0.075, hy = 0.175, a = 0.302, w = 0.65, gamma = 0.02829
hx = 0.075, hy = 0.2, a = 0.302, w = 0.65, gamma = 0.02874
hx = 0.075, hy = 0.225, a = 0.302, w = 0.65, gamma = 0.02886
hx = 0.1, hy = 0.125, a = 0.303, w = 0.65, gamma = 0.02962
hx = 0.1, hy = 0.15, a = 0.303, w = 0.65, gamma = 0.03031
hx = 0.075, hy = 0.175, a = 0.303, w = 0.65, gamma = 0.03054
hx = 0.1, hy = 0.175, a = 0.303, w = 0.65, gamma = 0.03054
hx = 0.075, hy = 0.2, a = 0.303, w = 0.65, gamma = 0.03124
hx = 0.075, hy = 0.225, a = 0.303, w = 0.65, gamma = 0.03166
hx = 0.1, hy = 0.125, a = 0.304, w = 0.65, gamma = 0.03206
hx = 0.1, hy = 0.15, a = 0.304, w = 0.65, gamma = 0.03308
hx = 0.1, hy = 0.175, a = 0.304, w = 0.65, gamma = 0.03365
hx = 0.1, hy = 0.2, a = 0.304, w = 0.65, gamma = 0.03373
hx = 0.075, hy = 0.225, a = 0.304, w = 0.65, gamma = 0.03406
hx = 0.075, hy = 0.25, a = 0.304, w = 0.65, gamma = 0.03425
hx = 0.1, hy = 0.15, a = 0.305, w = 0.65, gamma = 0.03547
hx = 0.1, hy = 0.175, a = 0.305, w = 0.65, gamma = 0.03633
hx = 0.1, hy = 0.2, a = 0.305, w = 0.65, gamma = 0.03669
hx = 0.1, hy = 0.15, a = 0.306, w = 0.65, gamma = 0.03761
hx = 0.1, hy = 0.175, a = 0.306, w = 0.65, gamma = 0.03872
hx = 0.1, hy = 0.2, a = 0.306, w = 0.65, gamma = 0.03937
hx = 0.1, hy = 0.225, a = 0.306, w = 0.65, gamma = 0.03966
hx = 0.1, hy = 0.175, a = 0.307, w = 0.65, gamma = 0.04078
hx = 0.1, hy = 0.2, a = 0.307, w = 0.65, gamma = 0.0417
hx = 0.1, hy = 0.225, a = 0.307, w = 0.65, gamma = 0.04227
hx = 0.1, hy = 0.25, a = 0.307, w = 0.65, gamma = 0.04227
hx = 0.1, hy = 0.175, a = 0.308, w = 0.65, gamma = 0.04253
hx = 0.1, hy = 0.2, a = 0.308, w = 0.65, gamma = 0.04368
hx = 0.1, hy = 0.225, a = 0.308, w = 0.65, gamma = 0.04446
hx = 0.1, hy = 0.25, a = 0.308, w = 0.65, gamma = 0.04474
hx = 0.1, hy = 0.2, a = 0.309, w = 0.65, gamma = 0.04549
hx = 0.1, hy = 0.225, a = 0.309, w = 0.65, gamma = 0.04648
hx = 0.1, hy = 0.25, a = 0.309, w = 0.65, gamma = 0.047
hx = 0.1, hy = 0.2, a = 0.31, w = 0.65, gamma = 0.04717
hx = 0.1, hy = 0.225, a = 0.31, w = 0.65, gamma = 0.04836
hx = 0.1, hy = 0.25, a = 0.31, w = 0.65, gamma = 0.04907
hx = 0.1, hy = 0.275, a = 0.31, w = 0.65, gamma = 0.04919
hx = 0.1, hy = 0.225, a = 0.311, w = 0.65, gamma = 0.05004
hx = 0.1, hy = 0.25, a = 0.311, w = 0.65, gamma = 0.05095
hx = 0.1, hy = 0.275, a = 0.311, w = 0.65, gamma = 0.05129
hx = 0.1, hy = 0.225, a = 0.312, w = 0.65, gamma = 0.05158
hx = 0.1, hy = 0.25, a = 0.312, w = 0.65, gamma = 0.05268
hx = 0.1, hy = 0.275, a = 0.312, w = 0.65, gamma = 0.05322
hx = 0.125, hy = 0.225, a = 0.313, w = 0.65, gamma = 0.05358
hx = 0.1, hy = 0.25, a = 0.313, w = 0.65, gamma = 0.05428
hx = 0.1, hy = 0.275, a = 0.313, w = 0.65, gamma = 0.05499
hx = 0.1, hy = 0.3, a = 0.313, w = 0.65, gamma = 0.05505
hx = 0.1, hy = 0.275, a = 0.314, w = 0.65, gamma = 0.05576
hx = 0.1, hy = 0.3, a = 0.314, w = 0.65, gamma = 0.05594
hx = 0.125, hy = 0.225, a = 0.315, w = 0.65, gamma = 0.05674
hx = 0.125, hy = 0.25, a = 0.315, w = 0.65, gamma = 0.05727
hx = 0.1, hy = 0.275, a = 0.315, w = 0.65, gamma = 0.05741
hx = 0.1, hy = 0.3, a = 0.315, w = 0.65, gamma = 0.05776
hx = 0.125, hy = 0.225, a = 0.316, w = 0.65, gamma = 0.05859
hx = 0.125, hy = 0.25, a = 0.316, w = 0.65, gamma = 0.05934
hx = 0.125, hy = 0.275, a = 0.316, w = 0.65, gamma = 0.0595
hx = 0.125, hy = 0.225, a = 0.317, w = 0.65, gamma = 0.0603
hx = 0.125, hy = 0.25, a = 0.317, w = 0.65, gamma = 0.06126
hx = 0.125, hy = 0.275, a = 0.317, w = 0.65, gamma = 0.06163
hx = 0.125, hy = 0.225, a = 0.318, w = 0.65, gamma = 0.06182
hx = 0.125, hy = 0.25, a = 0.318, w = 0.65, gamma = 0.06296
hx = 0.125, hy = 0.275, a = 0.318, w = 0.65, gamma = 0.06351
hx = 0.125, hy = 0.25, a = 0.319, w = 0.65, gamma = 0.06456
hx = 0.125, hy = 0.275, a = 0.319, w = 0.65, gamma = 0.06528
hx = 0.125, hy = 0.3, a = 0.319, w = 0.65, gamma = 0.06544
