wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.05, hy = 0.1, a = 0.314, w = 0.65, freqs = [196.35392241 203.42666027], gamma = 0.00817
hx = 0.05, hy = 0.125, a = 0.314, w = 0.65, freqs = [196.38957629 204.62183953], gamma = 0.00844
hx = 0.05, hy = 0.1, a = 0.315, w = 0.65, freqs = [195.96244707 203.03873053], gamma = 0.01118
hx = 0.075, hy = 0.1, a = 0.315, w = 0.65, freqs = [196.19789694 207.53715124], gamma = 0.01212
hx = 0.075, hy = 0.125, a = 0.315, w = 0.65, freqs = [196.26495501 209.273027  ], gamma = 0.01219
hx = 0.05, hy = 0.15, a = 0.315, w = 0.65, freqs = [196.04710008 205.33686329], gamma = 0.01227
hx = 0.05, hy = 0.1, a = 0.316, w = 0.65, freqs = [195.54808373 202.57744261], gamma = 0.01331
hx = 0.075, hy = 0.1, a = 0.316, w = 0.65, freqs = [195.78120622 207.05502734], gamma = 0.01571
hx = 0.075, hy = 0.125, a = 0.316, w = 0.65, freqs = [195.84749346 208.77438351], gamma = 0.01631
hx = 0.075, hy = 0.15, a = 0.316, w = 0.65, freqs = [195.92567577 210.39504134], gamma = 0.01654
hx = 0.075, hy = 0.1, a = 0.317, w = 0.65, freqs = [195.57451741 206.65569098], gamma = 0.01699
hx = 0.075, hy = 0.125, a = 0.317, w = 0.65, freqs = [195.6421628  208.39113087], gamma = 0.0178
hx = 0.075, hy = 0.15, a = 0.317, w = 0.65, freqs = [195.72284938 210.03145603], gamma = 0.01823
hx = 0.075, hy = 0.175, a = 0.317, w = 0.65, freqs = [195.82018265 211.53875439], gamma = 0.01824
hx = 0.075, hy = 0.1, a = 0.318, w = 0.65, freqs = [195.20243961 206.23221507], gamma = 0.0191
hx = 0.1, hy = 0.1, a = 0.318, w = 0.65, freqs = [195.67437971 211.07312717], gamma = 0.01933
hx = 0.075, hy = 0.125, a = 0.318, w = 0.65, freqs = [195.26992211 207.96061842], gamma = 0.02022
hx = 0.075, hy = 0.15, a = 0.318, w = 0.65, freqs = [195.35003756 209.58384824], gamma = 0.02096
hx = 0.075, hy = 0.175, a = 0.318, w = 0.65, freqs = [195.44706918 211.08087991], gamma = 0.02128
hx = 0.075, hy = 0.2, a = 0.318, w = 0.65, freqs = [195.5763093  212.80153417], gamma = 0.02128
hx = 0.1, hy = 0.1, a = 0.319, w = 0.65, freqs = [195.27874355 210.6102545 ], gamma = 0.02227
hx = 0.075, hy = 0.125, a = 0.319, w = 0.65, freqs = [194.88011449 207.50470711], gamma = 0.02231
hx = 0.1, hy = 0.125, a = 0.319, w = 0.65, freqs = [195.39970752 212.8175222 ], gamma = 0.02285
