hx = 0.05, hy = 0.1, a = 0.315, w = 0.65, freqs = [196.5806633  203.75806591], gamma = 0.00549
hx = 0.05, hy = 0.1, a = 0.316, w = 0.65, freqs = [196.1660445 203.2973031], gamma = 0.00981
hx = 0.05, hy = 0.125, a = 0.316, w = 0.65, freqs = [196.20211225 204.49475959], gamma = 0.01031
hx = 0.05, hy = 0.15, a = 0.316, w = 0.65, freqs = [196.25257625 205.6095344 ], gamma = 0.01048
hx = 0.05, hy = 0.1, a = 0.317, w = 0.65, freqs = [195.96783043 202.97068152], gamma = 0.01108
hx = 0.075, hy = 0.1, a = 0.317, w = 0.65, freqs = [196.20127522 207.45848591], gamma = 0.01204
hx = 0.075, hy = 0.125, a = 0.317, w = 0.65, freqs = [196.27022364 209.22042031], gamma = 0.0121
hx = 0.05, hy = 0.175, a = 0.317, w = 0.65, freqs = [196.13204719 206.31227668], gamma = 0.01211
hx = 0.05, hy = 0.1, a = 0.318, w = 0.65, freqs = [195.59561505 202.55778496], gamma = 0.01302
hx = 0.075, hy = 0.1, a = 0.318, w = 0.65, freqs = [195.8269368  207.02907948], gamma = 0.01532
hx = 0.075, hy = 0.125, a = 0.318, w = 0.65, freqs = [195.89529441 208.78487883], gamma = 0.01588
hx = 0.075, hy = 0.15, a = 0.318, w = 0.65, freqs = [195.9771734  210.43256336], gamma = 0.01603
hx = 0.075, hy = 0.1, a = 0.319, w = 0.65, freqs = [195.43845516 206.59012642], gamma = 0.01789
hx = 0.075, hy = 0.125, a = 0.319, w = 0.65, freqs = [195.50636686 208.32858475], gamma = 0.01882
hx = 0.075, hy = 0.15, a = 0.319, w = 0.65, freqs = [195.58667438 209.94738707], gamma = 0.01935
hx = 0.075, hy = 0.175, a = 0.319, w = 0.65, freqs = [195.68709377 211.49071827], gamma = 0.01947
hx = 0.075, hy = 0.1, a = 0.32, w = 0.65, freqs = [195.07245318 206.19536629], gamma = 0.01986
hx = 0.1, hy = 0.1, a = 0.32, w = 0.65, freqs = [195.53739134 211.10588969], gamma = 0.02055
hx = 0.075, hy = 0.125, a = 0.32, w = 0.65, freqs = [195.14070275 207.94083395], gamma = 0.02107
hx = 0.075, hy = 0.15, a = 0.32, w = 0.65, freqs = [195.22043541 209.54747841], gamma = 0.02188
hx = 0.075, hy = 0.175, a = 0.32, w = 0.65, freqs = [195.32087826 211.09184837], gamma = 0.0223
hx = 0.075, hy = 0.2, a = 0.32, w = 0.65, freqs = [195.45251715 212.81131105], gamma = 0.02239
hx = 0.1, hy = 0.1, a = 0.321, w = 0.65, freqs = [195.14193365 210.63150919], gamma = 0.02331
hx = 0.1, hy = 0.125, a = 0.321, w = 0.65, freqs = [195.26292087 212.84257631], gamma = 0.024
hx = 0.075, hy = 0.15, a = 0.321, w = 0.65, freqs = [194.83054199 209.05839723], gamma = 0.02409
hx = 0.1, hy = 0.15, a = 0.321, w = 0.65, freqs = [195.39694475 214.98550147], gamma = 0.02423
hx = 0.075, hy = 0.175, a = 0.321, w = 0.65, freqs = [194.93073662 210.61022159], gamma = 0.02478
hx = 0.075, hy = 0.2, a = 0.321, w = 0.65, freqs = [195.06199998 212.31462455], gamma = 0.02519
hx = 0.1, hy = 0.1, a = 0.322, w = 0.65, freqs = [194.74550328 210.15798634], gamma = 0.02562
hx = 0.1, hy = 0.125, a = 0.322, w = 0.65, freqs = [194.86436989 212.34765511], gamma = 0.02666
hx = 0.1, hy = 0.15, a = 0.322, w = 0.65, freqs = [194.99784282 214.47760129], gamma = 0.02724
hx = 0.1, hy = 0.175, a = 0.322, w = 0.65, freqs = [195.14934569 216.60296749], gamma = 0.02741
hx = 0.075, hy = 0.2, a = 0.322, w = 0.65, freqs = [194.67022562 211.82458612], gamma = 0.02757
hx = 0.075, hy = 0.225, a = 0.322, w = 0.65, freqs = [194.82779824 213.44435227], gamma = 0.02777
hx = 0.1, hy = 0.125, a = 0.323, w = 0.65, freqs = [194.46586297 211.84395418], gamma = 0.02892
hx = 0.1, hy = 0.15, a = 0.323, w = 0.65, freqs = [194.60023023 213.97353375], gamma = 0.02981
hx = 0.1, hy = 0.175, a = 0.323, w = 0.65, freqs = [194.75080408 216.10588575], gamma = 0.0303
hx = 0.1, hy = 0.2, a = 0.323, w = 0.65, freqs = [194.92128489 218.2835879 ], gamma = 0.0304
hx = 0.1, hy = 0.125, a = 0.324, w = 0.65, freqs = [194.07279713 211.36789485], gamma = 0.03087
hx = 0.1, hy = 0.15, a = 0.324, w = 0.65, freqs = [194.20502599 213.47535522], gamma = 0.03202
hx = 0.1, hy = 0.175, a = 0.324, w = 0.65, freqs = [194.35402538 215.59686642], gamma = 0.0328
hx = 0.1, hy = 0.2, a = 0.324, w = 0.65, freqs = [194.52510159 217.77684415], gamma = 0.0332
hx = 0.1, hy = 0.15, a = 0.325, w = 0.65, freqs = [193.80559523 212.96675626], gamma = 0.03399
hx = 0.1, hy = 0.175, a = 0.325, w = 0.65, freqs = [193.95348191 215.08931539], gamma = 0.03503
hx = 0.1, hy = 0.2, a = 0.325, w = 0.65, freqs = [194.12381783 217.25660625], gamma = 0.0357
hx = 0.1, hy = 0.225, a = 0.325, w = 0.65, freqs = [194.32784263 219.39984735], gamma = 0.03583
hx = 0.1, hy = 0.175, a = 0.326, w = 0.65, freqs = [193.5708813  214.65111622], gamma = 0.03698
hx = 0.1, hy = 0.2, a = 0.326, w = 0.65, freqs = [193.73990897 216.79938932], gamma = 0.03786
hx = 0.1, hy = 0.225, a = 0.326, w = 0.65, freqs = [193.94514511 218.94487197], gamma = 0.03824
hx = 0.1, hy = 0.175, a = 0.327, w = 0.65, freqs = [193.17175958 214.13959041], gamma = 0.03875
hx = 0.1, hy = 0.2, a = 0.327, w = 0.65, freqs = [193.33866952 216.26977042], gamma = 0.03986
hx = 0.1, hy = 0.225, a = 0.327, w = 0.65, freqs = [193.54314814 218.39882018], gamma = 0.04047
hx = 0.1, hy = 0.25, a = 0.327, w = 0.65, freqs = [193.77365106 220.39483738], gamma = 0.04053
hx = 0.125, hy = 0.175, a = 0.328, w = 0.65, freqs = [193.70380306 220.10064187], gamma = 0.04078
hx = 0.1, hy = 0.2, a = 0.328, w = 0.65, freqs = [192.94082301 215.75093898], gamma = 0.04165
hx = 0.1, hy = 0.225, a = 0.328, w = 0.65, freqs = [193.14153843 217.84074548], gamma = 0.04247
hx = 0.1, hy = 0.25, a = 0.328, w = 0.65, freqs = [193.37237452 219.83078717], gamma = 0.04275
hx = 0.125, hy = 0.175, a = 0.329, w = 0.65, freqs = [193.29110614 219.56769187], gamma = 0.04305
hx = 0.1, hy = 0.2, a = 0.329, w = 0.65, freqs = [192.53871341 215.21808869], gamma = 0.04327
hx = 0.125, hy = 0.2, a = 0.329, w = 0.65, freqs = [193.51798732 222.16239708], gamma = 0.04362
hx = 0.1, hy = 0.225, a = 0.329, w = 0.65, freqs = [192.7390295  217.28919655], gamma = 0.04429
hx = 0.1, hy = 0.25, a = 0.329, w = 0.65, freqs = [192.96553388 219.17993289], gamma = 0.04473
hx = 0.1, hy = 0.275, a = 0.329, w = 0.65, freqs = [193.24503515 221.26069992], gamma = 0.04474
hx = 0.125, hy = 0.175, a = 0.33, w = 0.65, freqs = [192.88116478 219.03096561], gamma = 0.0451
hx = 0.125, hy = 0.2, a = 0.33, w = 0.65, freqs = [193.1054336  221.61456656], gamma = 0.04593
hx = 0.1, hy = 0.225, a = 0.33, w = 0.65, freqs = [192.33693154 216.73299967], gamma = 0.04593
hx = 0.125, hy = 0.225, a = 0.33, w = 0.65, freqs = [193.36100893 224.18394144], gamma = 0.0462
hx = 0.1, hy = 0.25, a = 0.33, w = 0.65, freqs = [192.56493119 218.63006472], gamma = 0.04656
hx = 0.1, hy = 0.275, a = 0.33, w = 0.65, freqs = [192.8415515 220.6837632], gamma = 0.04679
hx = 0.125, hy = 0.175, a = 0.331, w = 0.65, freqs = [192.48519713 218.60775408], gamma = 0.04699
hx = 0.125, hy = 0.2, a = 0.331, w = 0.65, freqs = [192.70972417 221.17053436], gamma = 0.04802
hx = 0.125, hy = 0.225, a = 0.331, w = 0.65, freqs = [192.96304646 223.72394307], gamma = 0.04853
hx = 0.1, hy = 0.275, a = 0.331, w = 0.65, freqs = [192.4568548  220.20676748], gamma = 0.04865
hx = 0.125, hy = 0.175, a = 0.332, w = 0.65, freqs = [192.07928487 218.06914577], gamma = 0.04867
hx = 0.125, hy = 0.2, a = 0.332, w = 0.65, freqs = [192.30181576 220.60825017], gamma = 0.04991
hx = 0.125, hy = 0.225, a = 0.332, w = 0.65, freqs = [192.55579629 223.14817987], gamma = 0.05064
hx = 0.125, hy = 0.25, a = 0.332, w = 0.65, freqs = [192.83986949 225.60693828], gamma = 0.05079
hx = 0.125, hy = 0.2, a = 0.333, w = 0.65, freqs = [191.8972148  220.06295474], gamma = 0.05165
hx = 0.125, hy = 0.225, a = 0.333, w = 0.65, freqs = [192.14864976 222.57173337], gamma = 0.05258
hx = 0.125, hy = 0.25, a = 0.333, w = 0.65, freqs = [192.43038856 225.03012592], gamma = 0.05297
hx = 0.125, hy = 0.2, a = 0.334, w = 0.65, freqs = [191.50750019 219.55770423], gamma = 0.05321
hx = 0.125, hy = 0.225, a = 0.334, w = 0.65, freqs = [191.75775631 222.04112039], gamma = 0.05432
hx = 0.125, hy = 0.25, a = 0.334, w = 0.65, freqs = [192.03630846 224.47256422], gamma = 0.05491
hx = 0.125, hy = 0.275, a = 0.334, w = 0.65, freqs = [192.35685114 227.07620574], gamma = 0.05506
hx = 0.125, hy = 0.225, a = 0.335, w = 0.65, freqs = [191.38444954 221.53527732], gamma = 0.05587
hx = 0.125, hy = 0.25, a = 0.335, w = 0.65, freqs = [191.66238723 223.97224677], gamma = 0.05664
hx = 0.125, hy = 0.275, a = 0.335, w = 0.65, freqs = [191.98243998 226.56298229], gamma = 0.05699
hx = 0.125, hy = 0.25, a = 0.336, w = 0.65, freqs = [191.56466416 223.78237125], gamma = 0.05702
hx = 0.125, hy = 0.275, a = 0.336, w = 0.65, freqs = [191.88266837 226.32320017], gamma = 0.05739
hx = 0.125, hy = 0.225, a = 0.337, w = 0.65, freqs = [190.91790662 220.88084126], gamma = 0.05763
hx = 0.125, hy = 0.25, a = 0.337, w = 0.65, freqs = [191.19864904 223.31896676], gamma = 0.05861
hx = 0.125, hy = 0.275, a = 0.337, w = 0.65, freqs = [191.5223451  225.89049648], gamma = 0.05915
hx = 0.125, hy = 0.25, a = 0.338, w = 0.65, freqs = [190.82138059 222.79455328], gamma = 0.0601
hx = 0.125, hy = 0.275, a = 0.338, w = 0.65, freqs = [191.1441511  225.34358001], gamma = 0.06081
hx = 0.125, hy = 0.3, a = 0.338, w = 0.65, freqs = [191.51875958 227.84836145], gamma = 0.06084
hx = 0.125, hy = 0.25, a = 0.339, w = 0.65, freqs = [190.44447328 222.27432861], gamma = 0.06149
