hx = 0.05, hy = 0.1, a = 0.299, w = 0.65, freqs = [196.47020702 204.07251277], gamma = 0.00719
hx = 0.05, hy = 0.125, a = 0.299, w = 0.65, freqs = [196.51008375 205.41195061], gamma = 0.00722
hx = 0.05, hy = 0.1, a = 0.3, w = 0.65, freqs = [196.02646363 203.58821029], gamma = 0.01115
hx = 0.075, hy = 0.1, a = 0.3, w = 0.65, freqs = [196.2991036  208.54028218], gamma = 0.01143
hx = 0.05, hy = 0.125, a = 0.3, w = 0.65, freqs = [196.06522083 204.90048338], gamma = 0.01181
hx = 0.05, hy = 0.15, a = 0.3, w = 0.65, freqs = [196.11827473 206.16872517], gamma = 0.01216
hx = 0.05, hy = 0.1, a = 0.301, w = 0.65, freqs = [195.77918383 203.2376273 ], gamma = 0.0126
hx = 0.075, hy = 0.1, a = 0.301, w = 0.65, freqs = [196.05029995 208.16052625], gamma = 0.01401
hx = 0.075, hy = 0.125, a = 0.301, w = 0.65, freqs = [196.12493408 210.06479044], gamma = 0.01424
hx = 0.05, hy = 0.175, a = 0.301, w = 0.65, freqs = [195.9468901 207.0817805], gamma = 0.01432
hx = 0.05, hy = 0.1, a = 0.302, w = 0.65, freqs = [195.33965357 202.74749502], gamma = 0.01462
hx = 0.075, hy = 0.1, a = 0.302, w = 0.65, freqs = [195.60755327 207.64350211], gamma = 0.01752
hx = 0.075, hy = 0.125, a = 0.302, w = 0.65, freqs = [195.68173659 209.53439124], gamma = 0.01827
hx = 0.075, hy = 0.15, a = 0.302, w = 0.65, freqs = [195.76925624 211.35860112], gamma = 0.01862
hx = 0.075, hy = 0.1, a = 0.303, w = 0.65, freqs = [195.19484355 207.17227099], gamma = 0.02003
hx = 0.075, hy = 0.125, a = 0.303, w = 0.65, freqs = [195.26863151 209.05338939], gamma = 0.02114
hx = 0.075, hy = 0.15, a = 0.303, w = 0.65, freqs = [195.35429075 210.8466997 ], gamma = 0.02186
hx = 0.075, hy = 0.175, a = 0.303, w = 0.65, freqs = [195.46075049 212.62949804], gamma = 0.0222
hx = 0.1, hy = 0.1, a = 0.304, w = 0.65, freqs = [195.34143904 211.84571526], gamma = 0.02267
