wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.25, hy = 0.1, a = 0.35, w = 0.65, freqs = [193.71771111 221.33473943], gamma = 0.04162
hx = 0.25, hy = 0.25, a = 0.35, w = 0.65, freqs = [200.15099045 245.12216218], gamma = 0.05758
hx = 0.3, hy = 0.1, a = 0.4, w = 0.65, freqs = [181.19051476 208.81928189], gamma = 0.07027
hx = 0.3, hy = 0.15, a = 0.4, w = 0.65, freqs = [183.52871138 216.91851846], gamma = 0.08156
hx = 0.3, hy = 0.2, a = 0.4, w = 0.65, freqs = [185.70824738 224.82006745], gamma = 0.08578
hx = 0.3, hy = 0.25, a = 0.4, w = 0.65, freqs = [187.75332378 233.03261674], gamma = 0.08589
hx = 0.35, hy = 0.2, a = 0.45, w = 0.65, freqs = [175.8027055  213.62498057], gamma = 0.09656
hx = 0.35, hy = 0.25, a = 0.45, w = 0.65, freqs = [177.85553699 221.17515501], gamma = 0.10768
hx = 0.35, hy = 0.3, a = 0.45, w = 0.65, freqs = [179.82469996 228.59541761], gamma = 0.11369
hx = 0.35, hy = 0.35, a = 0.45, w = 0.65, freqs = [181.85346898 235.17544497], gamma = 0.11475
hx = 0.35, hy = 0.4, a = 0.45, w = 0.75, freqs = [177.18739665 226.1129783 ], gamma = 0.11886
hx = 0.35, hy = 0.45, a = 0.45, w = 0.75, freqs = [179.05162805 232.76963242], gamma = 0.12262
